Label,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,2.68,363559,12836,11209,11209,8079,6165,6165,4276,4276,3007,3007,1841,1841,0,4795,0,5907,6545,29904,0,0,32047,24064,0,234173,0.5,-1.35,17,212167,5511135,13714,6401,3858,103822,11892,324,11892,238,61,238,61,-324,2584,72334,234343,1,3,0,0,0,1,0,1,2,1,3,0,6,0,0,0,94,5317,0,0,5907,0,0,9694,0,0,0,32047,38064,5687,6545,1,4795,11595,0,4.9,0,27695,24951,29326,0,0,5317,5687,0,0,30441,4795,13847,24974,18199,0,0,0,32.34,0,0,0,0,0,0,0,0,0,36667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.44,176387,9.56,6733,6733,5537,3575,3575,2394,2394,1285,1285,643,643,12011,4795,0,5.96,19386,0,0,0,0,4992,22308,174112,667,-1.3,12,160092,312646,10.7,5363,5482,70435,10217,0.48,10217,0.32,13,0.32,-1,-0.48,-1548,45522,174204,7,6,0,0,0,0,0,0,3,4,6,0,5,0,0,0,70,22308,6042,5.96,0,0,5969,9787,0,0,0,0,12842,6545,0,0,9901,11929,0,0,22193,18883,6545,0,0,0,17201,0,0,0,29622,4795,0,12842,4992,0,0,0,127.72,0,0,0,0,0,0,0,0,0,37167,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2065,463857,15242,13615,13615,10.13,8243,8243,6157,6157,4445,4445,3135,3135,0,4795,0,11949,0,42745,19262,0,6066,43121,0,288.22,611,-1.35,21,260211,57281244,16028,7599,4068,128276,12693,324,12693,241,46,241,46,-324,3897,88666,288435,1,3,0,1,1,1,0,1,2,1,3,0,6,0,1,1,116,5317,0,0,5907,0,0,9694,0,0,0,37964,57326,5687,6042,2,4795,11595,0,4.9,0,58917,18406,29326,0,0,5317,5687,0,0,29938,4795,13847,50155,18199,0,0,0,32.34,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1382,1041601,21968,18374,18374,15675,11556,11556,8981,8981,7202,7202,5598,5598,5415,4795,0,11825,0,62.38,11127,0,60664,23099,10471,426231,321,-3.11,32,396.32,43023146.51,20774,8793,3.69,189558,13196,493,13196,232,137,232,-817,-493,3958,126.75,426.56,2,4,0,2,2,3,0,3,3,1,4,0,7,0,1,1,164,15.37,11165,0,5907,0,0,4795,0,0,0,72796,53624,19.51,6607,5,9531,5907,0,4.9,11652,24677,26241,101117,0,5.75,10471,0,5.75,0,37048,23051,5918,28675,78863,0,0,0,55.56,0,0,0,0,0,0,0,0,0,65583,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2079,682154,21225,16626,16626,13935,10198,10198,7447,7447,5331,5331,3735,3735,30064,24597,0,5907,51614,11984,4.9,0,30332,5317,5734,405226,571,-2.45,29,374247,3072694216,22835,11527,6.83,170622,13063,0.48,13063,326,335,326,-1.02,-0.48,1235,108387,405495,5,8,0,1,1,1,0,1,5,4,8,0,13,0,1,1,160,20847,12084,0,5907,0,11939,14906,4795,0,0,36753,50633,6545,6042,2,24597,17846,0,10217,5734,63071,13.09,35895,0,0,11.05,0,0,0,64174,20804,0,44088,30332,0,0,0,132.96,0,0,0,0,0,0,0,0,0,75667,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1557,817698,20604,17792,18608,13684,11315,12194,10659,12075,9.61,10726,8.13,9355,0,14384,0,38549,30595,44946,17335,6924,6076,13847,4737,416202,792,-1.1,29,384327,4382705738,19839,6448,2679,177135,12185,458,12185,306,12,306,-287,-458,4852,112.21,416583,0,4,4,1,5,0,0,0,5,0,5,0,2,3,1,4,158,4737,5601,10899,0,0,5969,14384,0,0,0,31182,74.19,30.43,0,5,19.12,28.63,0,0,28584,89.41,0,11649,0,0,0,0,0,11762,27719,19.12,28584,78559,11649,0,0,0,60.44,0,1497,0,0,0,0,0,0,0,62086,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1.8,1072732,21.25,16461,18729,14436,9807,10941,7325,8605,5209,5998,3688,4302,0,4795,0,5907,26449,42752,6421,22881,36198,10524,34803,462078,273,-2.05,30,442628,7664689813,21192,8982,4348,190053,13051,286,13051,286,228,283,-228,-283,5939,121657,463796,1,5,0,1,1,2,1,3,4,1,8,0,5,0,1,1,156,0,0,5694,0,5907,0,10.22,9691,5099,0,53356,50097,34262,16404,4,4795,40.71,0,20215,0,26186,13.09,68.79,0,16945,5426,0,0,34803,33786,0,6924,35314,42465,15068,16945,0,50.16,0,18621,0,0,0,0,0,0,1697,47016,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.88,193943,7475,6.44,8151,5316,4.18,6841,3374,7568,2005,7495,1452,5827,6.49,0,0,0,0,0,39269,0,0,14011,11807,189049,1,0.53,11,177128,1405618,6984,2063,1011,72115,5.75,249,5.75,145,1254,145,-1269,-249,158,49004,189224,0,3,0,3,3,0,0,0,1,0,5,0,3,0,3,3,62,0,6.49,0,0,0,0,0,14011,0,0,0,11807,39269,0,3,0,18297,0,14011,0,0,39269,0,0,0,0,0,0,6.49,53.28,11807,0,0,0,0,0,0,9.03,0,5.75,0,0,0,0,0,0,7465,6257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2316,623.34,13991,10843,10843,8986,5946,5946,4513,4513,3098,3098,1.96,1.96,5969,14696,0,12204,16951,5563,0,35.88,19056,0,0,256097,0.2,-2.36,19,242169,20987176,13081,5099,2731,110.85,12294,0.55,12294,209,118,209,-1157,-0.55,857,68736,256281,0,4,0,0,0,1,1,2,4,0,4,0,4,0,0,0,98,14468,0,0,5783,0,0,4795,0,0,0,29829,19056,30695,5694,2,14696,11753,0,4567,7048,13345,0,58913,0,0,5107,0,0,0,16.32,18263,6924,27309,36398,0,0,0,62.13,0,0,0,0,0,0,0,0,1595,48905,1,0,0,0,0,1,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.15,654049,23508,18127,20594,14389,10321,13576,8304,11121,5866,7.5,4368,5933,49093,19573,0,11949,5918,37569,0,13.18,11948,16764,26125,504146,944,0.06,31,470698,3716042977,27306,11462,7021,191783,13.01,0.47,13.01,0.47,238,388,-4933,-388,506,117785,504.97,5,10,0,2,2,0,0,0,8,5,13,0,10,0,2,2,182,30054,29852,0,5907,0,7823,14218,4565,0,23363,13345,38987,6545,17461,2,38.62,37093,0,10217,5918,80423,19848,0,0,0,5317,0,0,31186,97968,18.62,5918,33.11,0,0,0,0,148.79,0,7384,0,0,0,0,0,0,15913,60.62,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3491,145828,8146,5.41,5.41,4537,2804,2804,1.95,1.95,1019,1019,421,421,17918,9589,0,12842,0,0,0,0,0,0,16574,146069,0.6,-1.1,10,136066,111042,8.9,3838,3849,57996,10.1,0.48,10.1,0.32,21,0.32,-1.11,-0.48,-1336,34.04,146146,5,5,0,0,0,0,0,0,3,3,5,0,4,0,0,0,58,16574,6042,0,5907,0,5969,9589,0,0,0,0,6421,6421,0,0,14696,11876,0,0,11467,18883,0,0,0,0,11467,0,0,0,23025,9589,0,12842,0,0,0,0,106.41,0,0,0,0,0,0,0,0,0,35667,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1613,1140.53,25389,20053,21565,16452,12127,13.04,11061,11953,9693,10.86,8089,8811,33378,19.49,0,47381,19262,5573,18406,12142,26847,0,32356,520142,593,-1.89,35,491197,71392012.53,24789,8056,3024,214216,13573,457,13573,375,6,375,-1.53,-457,4869,130228,521437,1,6,4,0,4,0,1,1,6,1,8,0,5,3,0,3,188,14261,0,17168,5.76,0,5969,9589,4795,0,23202,32.42,61804,16748,23121,5,28644,40738,0,0,28584,63034,5.88,47957,0,0,0,0,0,23202,45102,14326,28584,57009,46614,0,0,0,93.81,0,13588,0,0,0,0,0,0,5242,67.56,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
